Entropy,Compression Ratio,Monobit,Frequency Within Block,Runs,Longest Runs in Ones,Binary Matrix Rank,DFT,Non-Overlapping Template,Overlapping Template,Maurer's Universal,Linear Complexity
13.15015362638583,14.164507897096351,0.5715986141555695,41.53309920138556,0.13059401997389636,5.78489075486589,0.7478699324886063,0.6908507940954522,0.0007341678266643305,3.9394491810182832,0.0009608775496104725,1.254425583236395
13.150457029167011,14.173892638756609,0.35411231218418204,41.22327528143946,0.44630067570238924,1.9554272929076253,0.37206997747468473,0.8827537924553001,0.0015006183475544592,0.3508506618560644,0.00013203680178897057,1.4277852337559296
13.152857664273748,14.165940872700183,1.3690483880506565,45.906042528625036,0.33477078312343345,2.2878342314309137,1.0016628195021247,0.3646156968837109,0.0012296426056932256,2.964064689320558,0.0006328240202961409,2.15030331965577
13.150884748496344,14.159429682436812,0.04740086068607161,53.34951409602619,0.07528058782350487,4.7276024554156875,0.10062442331148828,0.3902027633316906,0.005934432255479311,0.6125537660665391,0.0014393275818918025,3.2309620112648867
13.150579531123801,14.155395749569212,0.2662813056188141,54.71427884152797,0.7694681679825071,2.245432598582871,0.6140558221127447,0.89554732567929,0.0013380463018025498,1.3175421813062032,0.001277280203036568,3.6177672786551085
13.150097214438526,14.168612191958495,0.6120287600348658,49.33219474646398,0.3616055072155214,1.2100238535629395,2.1677138701674963,0.8315796595593408,0.00019872644901359126,5.173520657405395,0.0013841367345488462,4.423937715245238
13.152244457805775,14.172066854059226,0.9284992122624616,56.91806985470995,0.44035767638843243,3.0309116695892397,0.14877478883493844,1.1258309237111073,0.008834622863803848,4.646321996244445,0.002005104606954333,4.401000803920633
13.150029126815584,14.157217241046522,0.6608237636822925,51.09376503415762,0.32544439178704854,1.3459410881873675,0.6966420412337386,0.45417042945163993,0.0017425928168284027,4.501498476062476,0.001434307128423384,0.9809136630680644
13.151774595940394,14.165680310116018,0.5911166156145401,40.02747041277784,0.34386640515420924,4.226194871869379,0.18856165572336592,0.3774092301077008,0.0014497613133745433,2.9511781893900326,0.0003096080302945836,3.9532950707728847
13.14925454700584,14.159429682436812,1.2156926623016013,55.22231309535267,0.3130167924707647,0.9214694275778172,0.8383828727916326,0.17271269852386306,0.0011869788990119257,0.4560086447649293,0.0017044749203670047,3.2537305348070262
13.1501652974259,14.16470328578917,0.5632337563874391,58.04921581833928,0.5093047620520588,1.2170061626492623,0.9220284199347449,0.08315796595593407,0.004820529063616244,1.7050271858944213,0.0004710365015725414,1.7569629091110102
13.152931378970747,14.151559140772864,1.4220258205821483,44.15293947849514,0.2801929458533739,4.949513972559184,0.23930974658952972,0.8571667260073204,0.0016456627123268858,4.965555950747461,7.145001917407966e-05,3.6809371232609047
13.149754783996244,14.15897412327067,0.8573979212333541,40.5786106032907,1.4628273215675578,1.7752067539817322,0.12401576357298075,0.47975749589961963,0.0002938486866626508,1.5035750692298961,0.0013068163894800475,7.1134224500440295
13.151774595940406,14.171154138088076,0.5911166156145401,52.593620706244614,0.615724467248827,1.4628728151302788,0.6702465198217944,0.28785449753977177,0.0024673623784127957,4.222120420955712,9.640303429385709e-05,1.4338134066642114
13.151469650085348,14.1680257185038,0.37223617068179765,50.18161262388147,0.7958626731436085,2.497782194656257,1.0727256199960276,0.6268831279755029,0.0007521060329171236,2.303978413752299,0.00032521217479910544,1.3616601830118915
13.149776189334547,14.179177022921845,0.8420623486584486,52.986192629654596,1.2467711251224913,1.1820179666117163,0.09911130986871135,0.0,0.0011616313349650032,2.5219686837844706,0.00038864863385583697,3.7992105984526847
13.149959088995127,14.165159213702724,0.7110129102910742,46.53877609929762,0.3561961539609871,4.391288140317033,1.6521163230312959,0.620486361363508,0.0001560917367826394,3.5110018309088504,0.0004939745886034074,2.9325391867369714
13.151737696610512,14.171936458865257,0.5646278993487942,46.07808140094296,1.5665731999947847,4.520322133932554,0.8335154634035655,0.4285833630036602,0.012231301217107133,0.4187037145688368,0.0007581279035694165,1.991445947698183
13.151673605064452,14.166852917235765,0.5186211816240777,50.73082844222077,1.0208881611535177,1.6318447771010067,0.0814832172880948,0.47975749589961963,0.001153140382785879,3.4235699111797135,0.0004965111073360616,4.927167084550539
13.150812826677265,14.169198713968346,0.09898415025620837,49.05162128355625,1.2798369225168502,3.6494402264672434,3.024607944895762,0.1855062317478529,0.00039020613167290146,0.8305694848597183,0.001832562821683936,2.595246506957433
13.150933341391864,14.166983218899318,0.012547286652195427,49.225199653613025,0.21609193959012699,0.49549640985717597,0.30013789091717646,0.4029962965556805,0.0011125849490150079,0.521540662516269,0.0016026443978102375,1.7415667587915127
13.151572603988317,14.158843968893056,0.4461257476336152,54.45564322139901,0.13913687621889864,2.0246622797499585,0.03463208228498432,0.3070447973757566,0.0008709277850166501,3.2651449390488345,4.84342990471731e-05,1.7945442059071617
13.15155706445574,14.17487093122774,0.4349726039427748,55.07798518233428,0.04208807779210903,4.764506436546065,0.06337622481048943,0.6012960615275232,0.001776629350789923,4.844500689669271,0.0011933041091879203,3.6894592970262
